concept,feature
Dinosaur,has-limbs
The Dachshund,has-limbs
wolf,has-limbs
tiger,has-limbs
mouse,has-limbs
Cheetah,has-limbs
hound,has-limbs
mule,has-limbs
Yak,has-limbs
Elk,has-limbs
Ewes,has-limbs
cattle,has-limbs
lion,has-limbs
Chow Chow,has-limbs
lizard,has-limbs
cricket,has-limbs
chimpanzee,has-limbs
panda,has-limbs
Alpaca,has-limbs
hare,has-limbs
cattle,is-yellow
moth,can-fly
dove,can-fly
Seagull,can-fly
black swan,can-fly
Leech,can-fly
Squab,can-fly
Swan,can-fly
Vulture,can-fly
swallow,can-fly
pheasant,can-fly
grasshopper,can-fly
Robins,can-fly
Carp,is-long
Sea snake,is-long
Python,is-long
snake,is-long
Bungarus multicinctus,is-long
goose,has-Wings
moth,has-Wings
moth,is-Insects
moth,is-Insects
dove,has-Wings
Cock,has-Wings
Seagull,has-Wings
black swan,has-Wings
Leech,is-Insects
Leech,has-Wings
Leech,is-Insects
Hen,has-Wings
penguin,has-Wings
Squab,has-Wings
Leech,is-Insects
Swan,has-Wings
Vulture,has-Wings
ostrich,has-Wings
cricket,is-Insects
cricket,is-Insects
cricket,has-Wings
duck,has-Wings
swallow,has-Wings
pheasant,has-Wings
grasshopper,is-Insects
grasshopper,is-Insects
grasshopper,has-Wings
Robins,has-Wings
spider,is-Insects
spider,is-Insects
moth,is-Insects
Tyrannosaurus Rex,is-Meat
zebra,is-Black
leopard,is-Meat
Timber wolf,is-Meat
panther,is-Black
black swan,is-Black
fox,is-Meat
leopard,is-Meat
Dinosaur,is-Meat
wolf,is-Meat
tiger,is-Meat
hound,is-Meat
Python,is-Meat
penguin,is-Black
lion,is-Meat
Chow Chow,is-Meat
Swan,is-Black
Vulture,is-Meat
chimpanzee,is-Black
panda,is-Black
swallow,is-Black
Carp,can-swim
Turbot,can-swim
goose,can-swim
Sea snake,can-swim
Otarriinae,can-swim
Jellyfish,can-swim
black swan,can-swim
Crucian carp,can-swim
whale,can-swim
Guppy,can-swim
carp,can-swim
The sperm whale,can-swim
penguin,can-swim
Jellyfish,can-swim
Swan,can-swim
duck,can-swim
fish,can-swim
Snail,has-shell
Oysters,has-shell
Oysters,has-shell
snail,has-shell
Siberian Husky,can-Entertain
Tyrannosaurus Rex,is-Big
Tyrannosaurus Rex,can-Hunt
leopard,can-Hunt
Timber wolf,can-Hunt
Carp,is-Haili
Viper,can-Hunt
Turbot,is-Haili
African elephant,is-Big
Viper,can-Hunt
Seagull,can-Hunt
Sea snake,is-Haili
Otarriinae,can-Hunt
Otarriinae,is-Haili
Jellyfish,is-Haili
panther,can-Hunt
fox,can-Hunt
leopard,can-Hunt
whale,is-Haili
whale,is-Big
whale,can-Hunt
Dinosaur,is-Big
Dinosaur,can-Hunt
wolf,can-Hunt
tiger,can-Hunt
Cheetah,can-Hunt
hound,can-Hunt
Snail,is-Haili
Python,can-Hunt
Python,is-Big
The sperm whale,is-Big
The sperm whale,is-Haili
Oysters,is-Haili
penguin,can-Hunt
Oysters,is-Haili
lion,can-Hunt
mouse,has-wheel
Jellyfish,is-Haili
Vulture,can-Hunt
ostrich,is-Big
lizard,can-Hunt
mole,can-Hunt
Bungarus multicinctus,can-Hunt
spider,can-Hunt
Oysters,is-Soft
Jellyfish,is-Soft
Leech,is-Soft
snail,is-Soft
Tyrannosaurus Rex,has-teeth
leopard,has-teeth
Timber wolf,has-teeth
Viper,has-teeth
Viper,has-teeth
Dog,has-many kinds
Dog,has-teeth
Siberian Husky,has-teeth
Otarriinae,has-teeth
panther,has-teeth
fox,has-teeth
Rat,has-teeth
leopard,has-teeth
whale,has-teeth
Dinosaur,has-teeth
wolf,has-teeth
wolf,has-many kinds
tiger,has-teeth
mouse,has-teeth
Cheetah,has-teeth
hound,has-teeth
Python,has-teeth
The sperm whale,has-teeth
snake,has-teeth
lion,has-teeth
rat,has-many kinds
lizard,has-many kinds
mole,has-teeth
Bungarus multicinctus,has-teeth
fish,has-many kinds
zebra,can-Run
zebra,is-Mammals
leopard,can-Run
leopard,is-Mammals
Timber wolf,can-Run
African elephant,is-Mammals
Dog,can-Run
Otarriinae,is-Mammals
panther,can-Run
panther,is-Mammals
Monkey,is-Mammals
monkey,is-Mammals
Raccoons,can-Run
Raccoons,is-Mammals
leopard,can-Run
whale,is-Mammals
Dinosaur,can-Run
The Dachshund,can-Run
wolf,can-Run
wolf,is-Mammals
tiger,can-Run
tiger,is-Mammals
mouse,is-Mammals
Cheetah,can-Run
Cheetah,is-Mammals
hound,can-Run
hound,is-Mammals
Snail,has-Meat
Yak,is-Mammals
Elk,can-Run
Elk,is-Mammals
The sperm whale,is-Mammals
Oysters,has-Meat
cattle,is-Mammals
Squab,has-Meat
Oysters,has-Meat
lion,can-Run
lion,is-Mammals
Leech,is-Drugs
rabbit,can-Run
Rabbit,can-Run
ostrich,can-Run
chimpanzee,is-Mammals
panda,is-Mammals
mole,is-Mammals
Alpaca,can-Run
Alpaca,is-Mammals
pheasant,can-Run
hare,can-Run
goose,has-Feathers
dove,has-Feathers
Cock,has-Feathers
Seagull,has-Feathers
black swan,has-Feathers
Hen,has-Feathers
Squab,has-Feathers
Swan,has-Feathers
Vulture,has-Feathers
ostrich,has-Feathers
duck,has-Feathers
swallow,has-Feathers
pheasant,has-Feathers
Robins,has-Feathers
Tyrannosaurus Rex,has-Claws
Persian cat,has-Claws
dove,has-Claws
Cock,has-Claws
Seagull,has-Claws
Koala,has-Claws
wolf,has-Claws
Cheetah,has-Claws
Hen,has-Claws
Squab,has-Claws
lion,has-Claws
Vulture,has-Claws
lizard,has-Claws
mole,has-Claws
swallow,has-Claws
pheasant,has-Claws
Robins,has-Claws
Persian cat,need-Feed
Turbot,need-Feed
goose,need-Feed
dove,need-Feed
Cock,need-Feed
Siberian Husky,need-Feed
cattle,need-Feed
Guppy,need-Feed
mouse,is-small
carp,need-Feed
Hen,need-Feed
Squab,need-Feed
Chow Chow,need-Feed
rabbit,need-Feed
Rabbit,need-Feed
duck,need-Feed
Robins,is-small
moth,is-small
zebra,has-legs
Timber wolf,has-legs
Dog,has-legs
Siberian Husky,has-legs
panther,has-legs
The Dachshund,has-legs
hound,has-legs
mule,has-legs
Yak,has-legs
Hen,has-legs
ostrich,has-legs
lizard,has-legs
cricket,has-legs
hare,has-legs
grasshopper,has-legs
spider,has-legs
dove,is-Birds
Seagull,is-Birds
penguin,is-Birds
Squab,is-Birds
Swan,is-Birds
Vulture,is-Birds
ostrich,is-Birds
cricket,can-Voice
swallow,is-Birds
Robins,is-Birds
zebra,has-Ears
leopard,has-Ears
African elephant,has-Ears
Dog,has-Ears
Siberian Husky,has-Ears
Raccoons,has-Ears
Koala,has-Ears
The Dachshund,has-Ears
tiger,has-Ears
mouse,has-Ears
hound,has-Ears
Totoro,has-Ears
mule,has-Ears
Elk,has-Ears
Ewes,has-Ears
cattle,has-Ears
Chow Chow,has-Ears
rabbit,has-Ears
Rabbit,has-Ears
panda,has-Ears
Alpaca,has-Ears
hare,has-Ears
Carp,is-Fish
Turbot,is-Fish
Viper,can-Crawl
Jellyfish,is-transparent
Crucian carp,is-Fish
whale,is-Fish
Guppy,is-Fish
carp,is-Fish
Python,can-Crawl
The sperm whale,is-Fish
snake,can-Crawl
Jellyfish,is-transparent
snail,can-Crawl
lizard,can-Crawl
Bungarus multicinctus,can-Crawl
spider,can-Crawl
zebra,need-grass
cattle,need-grass
Yak,need-grass
Elk,need-grass
Ewes,need-grass
cattle,need-grass
rabbit,need-grass
Rabbit,need-grass
cricket,need-grass
Alpaca,need-grass
hare,need-grass
grasshopper,need-grass
Viper,can-Bite
Viper,can-Bite
Viper,can-Bite
Viper,can-Bite
The Dachshund,can-Bite
The Dachshund,can-Bite
snake,can-Bite
snake,can-Bite
Bungarus multicinctus,can-Bite
Bungarus multicinctus,can-Bite
leopard,has-Nose
Timber wolf,has-Nose
African elephant,has-Nose
Dog,has-Nose
Siberian Husky,has-Nose
monkey,has-Nose
Raccoons,has-Nose
Koala,has-Nose
The Dachshund,has-Nose
hound,has-Nose
mule,has-Nose
Elk,has-Nose
Ewes,has-Nose
cattle,has-Nose
lion,has-Nose
mouse,has-Keys
chimpanzee,has-Nose
Tyrannosaurus Rex,is-vicious
leopard,is-vicious
Timber wolf,is-vicious
Jellyfish,is-Biology
panther,is-vicious
Dinosaur,is-vicious
wolf,is-vicious
tiger,is-vicious
Cheetah,is-vicious
hound,is-vicious
Python,is-vicious
Oysters,is-Biology
Oysters,is-Biology
lion,is-vicious
Jellyfish,is-Biology
Vulture,is-vicious
moth,is-Biology
Guppy,is-good to see
moth,has-Antennae
Jellyfish,has-Antennae
Jellyfish,has-Antennae
snail,has-Antennae
cricket,has-Antennae
grasshopper,has-Antennae
Python,has-HEAD
ostrich,has-HEAD
lizard,has-HEAD
cricket,has-HEAD
Bungarus multicinctus,has-HEAD
zebra,has-Patterns
Carp,has-fins
Viper,like-rope
Turbot,has-fins
Viper,like-rope
Sea snake,like-rope
Crucian carp,has-fins
leopard,has-Patterns
whale,has-fins
Guppy,has-fins
tiger,has-Patterns
carp,has-fins
Cheetah,has-Patterns
Python,like-rope
Python,has-Patterns
The sperm whale,has-fins
snake,like-rope
Bungarus multicinctus,like-rope
fish,has-fins
Viper,has-Toxic
Viper,is-dangerous
Viper,has-Toxic
Sea snake,has-Toxic
Python,has-Toxic
snake,has-Toxic
Bungarus multicinctus,has-Toxic
spider,has-Toxic
Sea snake,has-Body
Python,has-Body
Elk,has-Body
lizard,has-Body
cricket,has-Body
chimpanzee,has-Body
Persian cat,is-cute
Turbot,has-Scaly
Dog,is-cute
Raccoons,is-cute
Crucian carp,has-Scaly
Koala,is-cute
Guppy,has-Scaly
carp,has-Scaly
Totoro,is-cute
Python,has-Scaly
rabbit,is-cute
Rabbit,is-cute
panda,is-cute
Alpaca,is-cute
fish,has-Scaly
leopard,like-Cat
Jellyfish,like-umbrella
panther,like-Cat
Monkey,like-human
Monkey,can-Jump
monkey,like-human
Raccoons,is-Brown
Crucian carp,is-in the water
leopard,like-Cat
tiger,like-Cat
Cheetah,like-Cat
Totoro,like-Cat
Leech,is-Harmful
lion,like-Cat
Jellyfish,like-umbrella
Jellyfish,is-in the water
Leech,is-Harmful
Leech,is-in the water
rabbit,can-Jump
Rabbit,can-Jump
cricket,can-Jump
chimpanzee,like-human
hare,can-Jump
hare,like-Cat
fish,is-in the water
grasshopper,can-Jump
moth,is-Harmful
Viper,is-Reptiles
Turbot,has-gills
Sea snake,is-Reptiles
cattle,has-Angle
Crucian carp,has-gills
Crucian carp,need-Oxygen
Guppy,need-Oxygen
Guppy,has-gills
carp,has-gills
carp,need-Oxygen
Python,is-Reptiles
Yak,has-Angle
Elk,has-Angle
The sperm whale,need-Oxygen
Ewes,has-Angle
cattle,has-Angle
snake,is-Reptiles
lizard,is-Reptiles
cricket,can-Call
Bungarus multicinctus,is-Reptiles
fish,has-gills
fish,need-Oxygen
Robins,can-Call
spider,is-Reptiles
Siberian Husky,is-Dog
The Dachshund,is-Dog
hound,is-Dog
Chow Chow,is-Dog
lizard,need-Insect
swallow,need-Insect
spider,need-Insect
Carp,need-Seawater
Viper,is-Snake
goose,is-Poultry
Viper,is-Snake
dove,is-Poultry
Cock,is-Poultry
Sea snake,is-Snake
Sea snake,need-Seawater
Jellyfish,can-Cool
Python,is-Snake
The sperm whale,need-Seawater
Hen,is-Poultry
Jellyfish,need-Seawater
Jellyfish,can-Move
lizard,like-snake
duck,is-Poultry
pheasant,is-Poultry
Bungarus multicinctus,is-Snake
zebra,like-horse
Persian cat,is-pets
Dog,is-pets
Siberian Husky,is-pets
Sea snake,has-tongue
Monkey,can-Climb Trees
Raccoons,can-Climb Trees
Koala,can-Climb Trees
The Dachshund,is-pets
Totoro,is-pets
Totoro,like-mouse
mule,like-horse
Python,has-tongue
Elk,like-horse
penguin,has-feet
snake,has-tongue
mouse,like-mouse
mouse,is-Electronic Products
Chow Chow,is-pets
lizard,has-tongue
cricket,has-feet
panda,can-Climb Trees
mole,like-mouse
Bungarus multicinctus,has-tongue
Robins,has-feet
spider,has-feet
zebra,is-black and white
leopard,like-Lion
Otarriinae,like-Lion
tiger,like-Lion
Cheetah,like-Lion
Ewes,has-wool
penguin,is-black and white
Jellyfish,like-Mushroom
Chow Chow,like-Lion
panda,is-black and white
leopard,like-Tiger
leopard,is-fast
leopard,is-Catidae
Persian cat,is-Catidae
Persian cat,like-Tiger
goose,like-duck
Dog,like-wolf
Siberian Husky,like-wolf
panther,is-Catidae
black swan,like-duck
fox,like-wolf
leopard,like-Tiger
Cheetah,like-Tiger
Cheetah,is-Catidae
Cheetah,is-fast
hound,like-wolf
Leech,can-suck blood
Oysters,is-Seafood
Oysters,is-Seafood
lion,like-Tiger
lion,is-Catidae
mouse,need-Computer
Leech,can-suck blood
Swan,like-duck
swallow,like-Sparrow
Robins,like-Sparrow
zebra,is-Grass Food
Timber wolf,is-Grey
Timber wolf,has-sharp teeth
goose,is-domestic
Cock,is-domestic
Otarriinae,has-beard
black swan,has-Neck
Monkey,is-Primates
cattle,can-cultivate land
cattle,is-Niu
whale,can-Spray
Dinosaur,is-Grass Food
wolf,is-Grey
tiger,has-sharp teeth
Yak,is-Niu
Hen,is-domestic
Ewes,is-Sheep
Oysters,is-shellfish
cattle,can-cultivate land
Squab,can-grill
Oysters,is-shellfish
lion,has-sharp teeth
Jellyfish,like-octopus
Swan,has-Neck
ostrich,has-Neck
chimpanzee,is-Primates
panda,need-Bamboo
duck,is-domestic
Alpaca,has-Neck
hare,is-Grass Food
spider,like-octopus
zebra,has-stripe
zebra,need-breath
leopard,has-spots
Timber wolf,like-Dog
Timber wolf,has-four legs
Carp,like-tape
goose,like-chicken
Cock,is-Chicken
Dog,can-Housekeeping
