concept,feature,________-number of participants mentioning this feature,________-number of participants rating this feature,_30_____________-normalized numer of participants mentioning this feature,COUNTIF feature,COUNTIF item
rat,need-Water,18,30,18,390,21
Honey peach,need-Water,13,30,13,390,28
Jellyfish,need-Water,14,30,14,390,29
Metasequoia,need-Water,20,30,20,390,19
Leech,need-Water,17,28,18.21428571,390,27
Chow Chow,need-Water,10,30,10,390,16
Peach,need-Water,11,30,11,390,17
Swan,need-Water,13,31,12.58064516,390,18
Vulture,need-Water,14,28,15,390,16
rabbit,need-Water,9,30,9,390,35
Rabbit,need-Water,11,30,11,390,35
ostrich,need-Water,14,30,14,390,16
Lettuce,need-Water,17,31,16.4516129,390,33
snail,need-Water,12,30,12,390,20
watermelon,need-Water,12,31,11.61290323,390,36
Tomatoes,need-Water,12,31,11.61290323,390,22
Broccoli,need-Water,12,30,12,390,16
lizard,need-Water,22,50,13.2,390,30
cricket,need-Water,18,59,9.152542373,390,24
coriander,need-Water,15,30,15,390,17
Sunflower,need-Water,16,31,15.48387097,390,30
A variety of Chinese cabbage,need-Water,15,30,15,390,17
chimpanzee,need-Water,11,30,11,390,18
panda,need-Water,15,29,15.51724138,390,23
duck,need-Water,21,29,21.72413793,390,17
mole,need-Water,12,30,12,390,16
swallow,need-Water,18,31,17.41935484,390,17
Alpaca,need-Water,14,30,14,390,21
onion,need-Water,13,30,13,390,17
Coconut,need-Water,7,30,7,390,18
pheasant,need-Water,16,29,16.55172414,390,16
hare,need-Water,14,30,14,390,21
Bungarus multicinctus,need-Water,10,29,10.34482759,390,18
Cherry,need-Water,11,30,11,390,17
Lettuce,need-Water,13,30,13,390,33
grapefruit,need-Water,9,30,9,390,17
fish,need-Water,17,30,17,390,16
tulips,need-Water,22,31,21.29032258,390,17
Jujube,need-Water,13,30,13,390,27
grasshopper,need-Water,10,30,10,390,17
Robins,need-Water,17,29,17.5862069,390,17
spider,need-Water,9,30,9,390,17
moth,need-Water,6,28,6.428571429,390,19
Scallion,is-Food,15,30,15,387,17
soybean,is-Food,24,30,24,387,26
garlic,is-Food,24,30,24,387,16
Jujube,is-Food,27,30,27,387,27
Carp,is-Food,27,29,27.93103448,387,32
Watermelon,is-Food,24,31,23.22580645,387,36
Soybean Milk,is-Food,14,29,14.48275862,387,16
Turbot,is-Food,19,30,19,387,16
goose,is-Food,17,30,17,387,17
tomato,is-Food,25,30,25,387,17
Cabbage,is-Food,25,30,25,387,29
citrus,is-Food,25,29,25.86206897,387,17
olive,is-Food,23,31,22.25806452,387,27
dove,is-Food,6,30,6,387,16
Cock,is-Food,12,30,12,387,20
Dog,is-Food,7,29,7.24137931,387,22
millet,is-Food,21,30,21,387,17
millet,is-Food,15,30,15,387,17
Hami melon,is-Food,26,30,26,387,17
seaweed,is-Food,11,30,11,387,29
Sea snake,is-Food,8,30,8,387,18
Seaweed,is-Food,27,29,27.93103448,387,29
seaweed,is-Food,15,29,15.51724138,387,29
Jellyfish,is-Food,20,31,19.35483871,387,29
Lotus,is-Food,8,30,8,387,37
Cucurbit,is-Food,22,30,22,387,21
Cauliflower,is-Food,24,30,24,387,17
cucumber,is-Food,28,30,28,387,21
cattle,is-Food,11,30,11,387,31
egg,is-Food,26,31,25.16129032,387,17
Crucian carp,is-Food,20,30,20,387,17
Honeysuckle,is-Food,9,30,9,387,20
Orange,is-Food,26,30,26,387,16
Cabbage,is-Food,24,30,24,387,29
Guppy,is-Food,8,28,8.571428571,387,17
Sunflower,is-Food,12,29,12.4137931,387,30
Sausage,is-Food,29,30,29,387,18
Bacon,is-Food,27,30,27,387,18
Blueberry,is-Food,23,30,23,387,16
carp,is-Food,18,30,18,387,32
litchi,is-Food,31,31,30,387,17
Lotus,is-Food,9,30,9,387,37
Durian,is-Food,27,30,27,387,16
mule,is-Food,8,30,8,387,16
Snail,is-Food,23,30,23,387,20
Soybean,is-Food,29,29,30,387,26
Yak,is-Food,13,30,13,387,18
kiwifruit,is-Food,27,30,27,387,17
honey peach,is-Food,25,30,25,387,28
Hen,is-Food,9,30,9,387,18
Ewes,is-Food,11,30,11,387,21
Oysters,is-Food,29,31,28.06451613,387,24
lemon,is-Food,19,30,19,387,16
cattle,is-Food,11,31,10.64516129,387,31
Bacon,is-Food,27,31,26.12903226,387,18
Loquat,is-Food,26,30,26,387,19
Grape,is-Food,25,31,24.19354839,387,20
Squab,is-Food,23,30,23,387,16
Mulberry,is-Food,23,30,23,387,17
Hawthorn,is-Food,28,31,27.09677419,387,17
Oysters,is-Food,24,30,24,387,24
Honey peach,is-Food,24,30,24,387,28
Peach,is-Food,29,30,29,387,17
rabbit,is-Food,13,30,13,387,35
Rabbit,is-Food,16,30,16,387,35
Lettuce,is-Food,29,31,28.06451613,387,33
snail,is-Food,8,30,8,387,20
watermelon,is-Food,25,31,24.19354839,387,36
Tomatoes,is-Food,24,31,23.22580645,387,22
Broccoli,is-Food,24,30,24,387,16
coriander,is-Food,21,30,21,387,17
sausage,is-Food,30,31,29.03225806,387,18
Sunflower,is-Food,13,31,12.58064516,387,30
A variety of Chinese cabbage,is-Food,26,30,26,387,17
millet,is-Food,20,29,20.68965517,387,17
millet,is-Food,8,29,8.275862069,387,17
duck,is-Food,13,29,13.44827586,387,17
Alpaca,is-Food,6,30,6,387,21
onion,is-Food,26,30,26,387,17
Coconut,is-Food,20,30,20,387,18
pheasant,is-Food,17,29,17.5862069,387,16
hare,is-Food,20,30,20,387,21
Cherry,is-Food,21,30,21,387,17
Lettuce,is-Food,27,30,27,387,33
grapefruit,is-Food,27,30,27,387,17
fish,is-Food,26,30,26,387,16
Jujube,is-Food,27,30,27,387,27
grasshopper,is-Food,8,30,8,387,17
Tyrannosaurus Rex,need-Air,11,28,11.78571429,236,16
silver birch,need-Air,9,30,9,236,19
white-barked pine,need-Air,8,30,8,236,16
Cypress,need-Air,14,28,15,236,16
zebra,need-Air,9,28,9.642857143,236,25
leopard,need-Air,6,30,6,236,40
Persian cat,need-Air,7,29,7.24137931,236,18
Dionaea muscipula,need-Air,14,30,14,236,16
Timber wolf,need-Air,10,30,10,236,24
garlic,need-Air,6,30,6,236,16
Jujube,need-Air,9,30,9,236,27
Carp,need-Air,6,29,6.206896552,236,32
Watermelon,need-Air,7,31,6.774193548,236,36
Turbot,need-Air,7,30,7,236,16
goose,need-Air,7,30,7,236,17
moth,need-Air,8,29,8.275862069,236,19
tomato,need-Air,7,30,7,236,17
African elephant,need-Air,9,31,8.709677419,236,19
Cabbage,need-Air,8,30,8,236,29
citrus,need-Air,6,29,6.206896552,236,17
olive,need-Air,8,31,7.741935484,236,27
Olive,need-Air,14,29,14.48275862,236,27
dove,need-Air,6,30,6,236,16
Cock,need-Air,10,30,10,236,20
Dog,need-Air,9,29,9.310344828,236,22
millet,need-Air,9,30,9,236,17
shrub,need-Air,11,30,11,236,17
Hami melon,need-Air,6,30,6,236,17
Seagull,need-Air,10,30,10,236,16
Sea snake,need-Air,6,30,6,236,18
Otarriinae,need-Air,8,30,8,236,16
Lotus,need-Air,9,30,9,236,37
panther,need-Air,12,29,12.4137931,236,20
black swan,need-Air,11,30,11,236,17
Monkey,need-Air,6,29,6.206896552,236,29
fox,need-Air,7,30,7,236,17
Cucurbit,need-Air,9,30,9,236,21
Cauliflower,need-Air,6,30,6,236,17
birch,need-Air,7,30,7,236,16
Raccoons,need-Air,6,30,6,236,20
cucumber,need-Air,6,30,6,236,21
Crucian carp,need-Air,7,30,7,236,17
leopard,need-Air,10,30,10,236,40
Honeysuckle,need-Air,8,30,8,236,20
Chrysanthemum,need-Air,9,31,8.709677419,236,19
Cabbage,need-Air,9,30,9,236,29
Koala,need-Air,6,30,6,236,18
Dinosaur,need-Air,8,30,8,236,17
Sunflower,need-Air,7,29,7.24137931,236,30
The Dachshund,need-Air,7,29,7.24137931,236,19
Blueberry,need-Air,12,30,12,236,16
wolf,need-Air,12,29,12.4137931,236,22
tiger,need-Air,6,31,5.806451613,236,23
litchi,need-Air,8,31,7.741935484,236,17
Lotus,need-Air,10,30,10,236,37
Cheetah,need-Air,7,30,7,236,25
hound,need-Air,9,30,9,236,21
Durian,need-Air,6,30,6,236,16
Totoro,need-Air,9,29,9.310344828,236,16
mule,need-Air,9,30,9,236,16
Leech,need-Air,6,29,6.206896552,236,27
babysbreath,need-Air,11,29,11.37931034,236,16
Python,need-Air,12,47,7.659574468,236,30
Yak,need-Air,10,30,10,236,18
Elk,need-Air,12,30,12,236,19
Hen,need-Air,8,30,8,236,18
Ewes,need-Air,8,30,8,236,21
Loquat,need-Air,8,30,8,236,19
Grape,need-Air,7,31,6.774193548,236,20
penguin,need-Air,9,31,8.709677419,236,17
Squab,need-Air,7,30,7,236,16
Mulberry,need-Air,7,30,7,236,17
snake,need-Air,8,31,7.741935484,236,19
lion,need-Air,8,30,8,236,23
rat,need-Air,12,30,12,236,21
Honey peach,need-Air,6,30,6,236,28
Metasequoia,need-Air,7,30,7,236,19
Leech,need-Air,9,28,9.642857143,236,27
Chow Chow,need-Air,8,30,8,236,16
Peach,need-Air,7,30,7,236,17
Vulture,need-Air,8,28,8.571428571,236,16
Rabbit,need-Air,7,30,7,236,35
ostrich,need-Air,8,30,8,236,16
Lettuce,need-Air,8,31,7.741935484,236,33
snail,need-Air,6,30,6,236,20
watermelon,need-Air,6,31,5.806451613,236,36
Broccoli,need-Air,6,30,6,236,16
lizard,need-Air,15,50,9,236,30
cricket,need-Air,9,59,4.576271186,236,24
coriander,need-Air,6,30,6,236,17
Sunflower,need-Air,10,31,9.677419355,236,30
A variety of Chinese cabbage,need-Air,9,30,9,236,17
chimpanzee,need-Air,8,30,8,236,18
panda,need-Air,7,29,7.24137931,236,23
duck,need-Air,10,29,10.34482759,236,17
mole,need-Air,6,30,6,236,16
swallow,need-Air,9,31,8.709677419,236,17
Alpaca,need-Air,8,30,8,236,21
onion,need-Air,7,30,7,236,17
pheasant,need-Air,10,29,10.34482759,236,16
hare,need-Air,10,30,10,236,21
Lettuce,need-Air,9,30,9,236,33
tulips,need-Air,10,31,9.677419355,236,17
grasshopper,need-Air,7,30,7,236,17
Robins,need-Air,13,29,13.44827586,236,17
spider,need-Air,6,30,6,236,17
glass,need-Clean,14,30,14,208,19
Knife,need-Clean,9,30,9,208,25
Scallion,need-Clean,6,30,6,208,17
tomato,need-Clean,10,30,10,208,17
Cabbage,need-Clean,6,30,6,208,29
pot,need-Clean,12,30,12,208,16
Cucurbit,need-Clean,7,30,7,208,21
cucumber,need-Clean,9,30,9,208,21
Cushion,need-Clean,8,31,7.741935484,208,17
trousers,need-Clean,11,30,11,208,18
Blueberry,need-Clean,7,30,7,208,16
honey peach,need-Clean,7,30,7,208,28
leather jacket,need-Clean,9,30,9,208,16
Grape,need-Clean,8,31,7.741935484,208,20
gym shoes,need-Clean,15,30,15,208,16
Honey peach,need-Clean,7,30,7,208,28
Peach,need-Clean,14,30,14,208,17
coriander,need-Clean,9,30,9,208,17
A variety of Chinese cabbage,need-Clean,6,30,6,208,17
Cherry,need-Clean,8,30,8,208,17
Lettuce,need-Clean,10,30,10,208,33
gym shoes,need-Clean,12,29,12.4137931,208,16
Jujube,need-Clean,9,30,9,208,27
trousers,need-Clean,11,30,11,208,18
Cushion,need-Clean,13,28,13.92857143,208,17
Tyrannosaurus Rex,is-Animals,17,28,18.21428571,192,16
zebra,is-Animals,27,28,28.92857143,192,25
leopard,is-Animals,30,30,30,192,40
Persian cat,is-Animals,18,29,18.62068966,192,18
Timber wolf,is-Animals,22,30,22,192,24
Carp,is-Animals,7,29,7.24137931,192,32
Viper,is-Animals,25,30,25,192,27
Turbot,is-Animals,13,30,13,192,16
goose,is-Animals,26,30,26,192,17
moth,is-Animals,10,29,10.34482759,192,19
African elephant,is-Animals,24,31,23.22580645,192,19
Viper,is-Animals,21,29,21.72413793,192,27
dove,is-Animals,24,30,24,192,16
Cock,is-Animals,24,30,24,192,20
Dog,is-Animals,23,29,23.79310345,192,22
Siberian Husky,is-Animals,14,31,13.5483871,192,19
Seagull,is-Animals,16,30,16,192,16
Sea snake,is-Animals,23,30,23,192,18
Otarriinae,is-Animals,27,30,27,192,16
Jellyfish,is-Animals,10,31,9.677419355,192,29
panther,is-Animals,28,29,28.96551724,192,20
black swan,is-Animals,25,30,25,192,17
Monkey,is-Animals,28,29,28.96551724,192,29
monkey,is-Animals,27,30,27,192,29
fox,is-Animals,26,30,26,192,17
Raccoons,is-Animals,22,30,22,192,20
cattle,is-Animals,20,30,20,192,31
Crucian carp,is-Animals,14,30,14,192,17
Rat,is-Animals,18,30,18,192,21
leopard,is-Animals,26,30,26,192,40
whale,is-Animals,29,33,26.36363636,192,18
Koala,is-Animals,30,30,30,192,18
Guppy,is-Animals,8,28,8.571428571,192,17
Dinosaur,is-Animals,23,30,23,192,17
The Dachshund,is-Animals,19,29,19.65517241,192,19
wolf,is-Animals,24,29,24.82758621,192,22
tiger,is-Animals,31,31,30,192,23
mouse,is-Animals,28,30,28,192,25
carp,is-Animals,13,30,13,192,32
Cheetah,is-Animals,29,30,29,192,25
hound,is-Animals,24,30,24,192,21
Totoro,is-Animals,13,29,13.44827586,192,16
mule,is-Animals,24,30,24,192,16
Snail,is-Animals,16,30,16,192,20
Leech,is-Animals,15,29,15.51724138,192,27
Python,is-Animals,36,47,22.9787234,192,30
Yak,is-Animals,26,30,26,192,18
Elk,is-Animals,28,30,28,192,19
The sperm whale,is-Animals,19,30,19,192,19
Hen,is-Animals,29,30,29,192,18
Ewes,is-Animals,25,30,25,192,21
Oysters,is-Animals,15,31,14.51612903,192,24
cattle,is-Animals,29,31,28.06451613,192,31
penguin,is-Animals,27,31,26.12903226,192,17
Squab,is-Animals,17,30,17,192,16
snake,is-Animals,27,31,26.12903226,192,19
Oysters,is-Animals,10,30,10,192,24
lion,is-Animals,28,30,28,192,23
rat,is-Animals,25,30,25,192,21
Jellyfish,is-Animals,14,30,14,192,29
Leech,is-Animals,21,28,22.5,192,27
Chow Chow,is-Animals,20,30,20,192,16
Swan,is-Animals,25,31,24.19354839,192,18
Vulture,is-Animals,20,28,21.42857143,192,16
rabbit,is-Animals,25,30,25,192,35
Rabbit,is-Animals,25,30,25,192,35
ostrich,is-Animals,19,30,19,192,16
snail,is-Animals,24,30,24,192,20
lizard,is-Animals,48,50,28.8,192,30
cricket,is-Animals,26,59,13.22033898,192,24
chimpanzee,is-Animals,30,30,30,192,18
panda,is-Animals,21,29,21.72413793,192,23
duck,is-Animals,27,29,27.93103448,192,17
mole,is-Animals,24,30,24,192,16
swallow,is-Animals,23,31,22.25806452,192,17
Alpaca,is-Animals,30,30,30,192,21
pheasant,is-Animals,29,29,30,192,16
hare,is-Animals,26,30,26,192,21
Bungarus multicinctus,is-Animals,20,29,20.68965517,192,18
fish,is-Animals,19,30,19,192,16
grasshopper,is-Animals,16,30,16,192,17
Robins,is-Animals,15,29,15.51724138,192,17
spider,is-Animals,22,30,22,192,17
moth,is-Animals,9,28,9.642857143,192,19
Tyrannosaurus Rex,need-Food,22,28,23.57142857,189,16
zebra,need-Food,24,28,25.71428571,189,25
leopard,need-Food,18,30,18,189,40
Persian cat,need-Food,20,29,20.68965517,189,18
Dionaea muscipula,need-Food,7,30,7,189,16
Timber wolf,need-Food,22,30,22,189,24
Carp,need-Food,8,29,8.275862069,189,32
Viper,need-Food,15,30,15,189,27
Turbot,need-Food,14,30,14,189,16
goose,need-Food,18,30,18,189,17
moth,need-Food,17,29,17.5862069,189,19
African elephant,need-Food,26,31,25.16129032,189,19
Viper,need-Food,15,29,15.51724138,189,27
dove,need-Food,21,30,21,189,16
Cock,need-Food,24,30,24,189,20
Dog,need-Food,20,29,20.68965517,189,22
Siberian Husky,need-Food,19,31,18.38709677,189,19
Seagull,need-Food,23,30,23,189,16
Sea snake,need-Food,19,30,19,189,18
Otarriinae,need-Food,18,30,18,189,16
Jellyfish,need-Food,13,31,12.58064516,189,29
panther,need-Food,23,29,23.79310345,189,20
black swan,need-Food,15,30,15,189,17
Monkey,need-Food,18,29,18.62068966,189,29
monkey,need-Food,12,30,12,189,29
fox,need-Food,20,30,20,189,17
Raccoons,need-Food,22,30,22,189,20
cattle,need-Food,13,30,13,189,31
Crucian carp,need-Food,13,30,13,189,17
Rat,need-Food,23,30,23,189,21
leopard,need-Food,21,30,21,189,40
whale,need-Food,23,33,20.90909091,189,18
Koala,need-Food,25,30,25,189,18
Guppy,need-Food,12,28,12.85714286,189,17
Dinosaur,need-Food,26,30,26,189,17
The Dachshund,need-Food,27,29,27.93103448,189,19
wolf,need-Food,16,29,16.55172414,189,22
tiger,need-Food,20,31,19.35483871,189,23
mouse,need-Food,18,30,18,189,25
carp,need-Food,15,30,15,189,32
Cheetah,need-Food,22,30,22,189,25
hound,need-Food,21,30,21,189,21
Totoro,need-Food,15,29,15.51724138,189,16
mule,need-Food,21,30,21,189,16
Snail,need-Food,7,30,7,189,20
Leech,need-Food,11,29,11.37931034,189,27
Python,need-Food,37,47,23.61702128,189,30
Yak,need-Food,22,30,22,189,18
Elk,need-Food,25,30,25,189,19
The sperm whale,need-Food,21,30,21,189,19
Hen,need-Food,16,30,16,189,18
Ewes,need-Food,22,30,22,189,21
Oysters,need-Food,6,31,5.806451613,189,24
cattle,need-Food,22,31,21.29032258,189,31
penguin,need-Food,22,31,21.29032258,189,17
Squab,need-Food,13,30,13,189,16
snake,need-Food,25,31,24.19354839,189,19
lion,need-Food,21,30,21,189,23
rat,need-Food,19,30,19,189,21
Jellyfish,need-Food,11,30,11,189,29
Chow Chow,need-Food,21,30,21,189,16
Swan,need-Food,20,31,19.35483871,189,18
Vulture,need-Food,21,28,22.5,189,16
rabbit,need-Food,18,30,18,189,35
Rabbit,need-Food,20,30,20,189,35
ostrich,need-Food,19,30,19,189,16
snail,need-Food,16,30,16,189,20
lizard,need-Food,39,50,23.4,189,30
cricket,need-Food,24,59,12.20338983,189,24
chimpanzee,need-Food,23,30,23,189,18
panda,need-Food,20,29,20.68965517,189,23
duck,need-Food,22,29,22.75862069,189,17
mole,need-Food,22,30,22,189,16
swallow,need-Food,23,31,22.25806452,189,17
Alpaca,need-Food,22,30,22,189,21
pheasant,need-Food,20,29,20.68965517,189,16
hare,need-Food,22,30,22,189,21
Bungarus multicinctus,need-Food,20,29,20.68965517,189,18
fish,need-Food,13,30,13,189,16
grasshopper,need-Food,22,30,22,189,17
Robins,need-Food,22,29,22.75862069,189,17
spider,need-Food,20,30,20,189,17
moth,need-Food,12,28,12.85714286,189,19
Tyrannosaurus Rex,need-Sunlight,6,28,6.428571429,187,16
silver birch,need-Sunlight,18,30,18,187,19
white-barked pine,need-Sunlight,10,30,10,187,16
Cypress,need-Sunlight,18,28,19.28571429,187,16
zebra,need-Sunlight,9,28,9.642857143,187,25
Dionaea muscipula,need-Sunlight,17,30,17,187,16
Daisy,need-Sunlight,15,29,15.51724138,187,16
garlic,need-Sunlight,8,30,8,187,16
Jujube,need-Sunlight,7,30,7,187,27
Watermelon,need-Sunlight,14,31,13.5483871,187,36
tomato,need-Sunlight,9,30,9,187,17
Cabbage,need-Sunlight,15,30,15,187,29
citrus,need-Sunlight,6,29,6.206896552,187,17
olive,need-Sunlight,16,31,15.48387097,187,27
Olive,need-Sunlight,16,29,16.55172414,187,27
millet,need-Sunlight,10,30,10,187,17
shrub,need-Sunlight,22,30,22,187,17
Hami melon,need-Sunlight,8,30,8,187,17
seaweed,need-Sunlight,6,30,6,187,29
seaweed,need-Sunlight,8,29,8.275862069,187,29
Lotus,need-Sunlight,10,30,10,187,37
Cucurbit,need-Sunlight,9,30,9,187,21
Cauliflower,need-Sunlight,10,30,10,187,17
birch,need-Sunlight,13,30,13,187,16
cucumber,need-Sunlight,9,30,9,187,21
Honeysuckle,need-Sunlight,15,30,15,187,20
Orange,need-Sunlight,8,30,8,187,16
Chrysanthemum,need-Sunlight,15,31,14.51612903,187,19
Cabbage,need-Sunlight,16,30,16,187,29
Sunflower,need-Sunlight,16,29,16.55172414,187,30
Sausage,need-Sunlight,9,30,9,187,18
Bacon,need-Sunlight,7,30,7,187,18
Blueberry,need-Sunlight,12,30,12,187,16
litchi,need-Sunlight,9,31,8.709677419,187,17
Lotus,need-Sunlight,17,30,17,187,37
Durian,need-Sunlight,7,30,7,187,16
babysbreath,need-Sunlight,15,29,15.51724138,187,16
Soybean,need-Sunlight,7,29,7.24137931,187,26
kiwifruit,need-Sunlight,11,30,11,187,17
Loquat,need-Sunlight,13,30,13,187,19
Grape,need-Sunlight,9,31,8.709677419,187,20
Mulberry,need-Sunlight,13,30,13,187,17
Hawthorn,need-Sunlight,13,31,12.58064516,187,17
Honey peach,need-Sunlight,8,30,8,187,28
Metasequoia,need-Sunlight,17,30,17,187,19
Peach,need-Sunlight,10,30,10,187,17
Lettuce,need-Sunlight,12,31,11.61290323,187,33
watermelon,need-Sunlight,13,31,12.58064516,187,36
Tomatoes,need-Sunlight,13,31,12.58064516,187,22
Broccoli,need-Sunlight,7,30,7,187,16
lizard,need-Sunlight,7,50,4.2,187,30
cricket,need-Sunlight,6,59,3.050847458,187,24
coriander,need-Sunlight,15,30,15,187,17
Sunflower,need-Sunlight,19,31,18.38709677,187,30
A variety of Chinese cabbage,need-Sunlight,9,30,9,187,17
onion,need-Sunlight,10,30,10,187,17
Coconut,need-Sunlight,7,30,7,187,18
Cherry,need-Sunlight,6,30,6,187,17
Lettuce,need-Sunlight,12,30,12,187,33
grapefruit,need-Sunlight,9,30,9,187,17
tulips,need-Sunlight,16,31,15.48387097,187,17
Jujube,need-Sunlight,14,30,14,187,27
Robins,need-Sunlight,6,29,6.206896552,187,17
silver birch,is-Plant,20,30,20,183,19
white-barked pine,is-Plant,17,30,17,183,16
Cypress,is-Plant,21,28,22.5,183,16
Dionaea muscipula,is-Plant,30,30,30,183,16
Daisy,is-Plant,23,29,23.79310345,183,16
Scallion,is-Plant,17,30,17,183,17
soybean,is-Plant,15,30,15,183,26
garlic,is-Plant,8,30,8,183,16
Watermelon,is-Plant,10,31,9.677419355,183,36
tomato,is-Plant,13,30,13,183,17
Cabbage,is-Plant,14,30,14,183,29
citrus,is-Plant,9,29,9.310344828,183,17
olive,is-Plant,21,31,20.32258065,183,27
Olive,is-Plant,19,29,19.65517241,183,27
millet,is-Plant,7,30,7,183,17
shrub,is-Plant,23,30,23,183,17
seaweed,is-Plant,25,30,25,183,29
Seaweed,is-Plant,6,29,6.206896552,183,29
seaweed,is-Plant,18,29,18.62068966,183,29
Lotus,is-Plant,20,30,20,183,37
Cucurbit,is-Plant,12,30,12,183,21
Cauliflower,is-Plant,10,30,10,183,17
birch,is-Plant,15,30,15,183,16
cucumber,is-Plant,10,30,10,183,21
Honeysuckle,is-Plant,19,30,19,183,20
Orange,is-Plant,9,30,9,183,16
Chrysanthemum,is-Plant,24,31,23.22580645,183,19
Cabbage,is-Plant,11,30,11,183,29
Sunflower,is-Plant,23,29,23.79310345,183,30
Blueberry,is-Plant,7,30,7,183,16
litchi,is-Plant,7,31,6.774193548,183,17
Lotus,is-Plant,23,30,23,183,37
babysbreath,is-Plant,15,29,15.51724138,183,16
Soybean,is-Plant,11,29,11.37931034,183,26
Loquat,is-Plant,13,30,13,183,19
Grape,is-Plant,8,31,7.741935484,183,20
Mulberry,is-Plant,7,30,7,183,17
Hawthorn,is-Plant,7,31,6.774193548,183,17
Metasequoia,is-Plant,24,30,24,183,19
